member_id,first_name,last_name,email,membership_date
M1,William,Springs,william@gmail.com,2023-11-05
M2,Brenda,Grieco,brenda@gmail.com,2024-11-22
M3,Lindsey,Taylor,lindsey@gmail.com,2023-10-04
M4,Eula,Tong,eula@gmail.com,2023-09-09
M5,Walter,Fuller,walter@gmail.com,2024-09-06
M6,Roger,White,roger@gmail.com,2024-11-13
M7,Eva,Buckley,eva@gmail.com,2022-08-25
M8,Travis,Gover,travis@gmail.com,2023-02-28
M9,Alice,Bascomb,alice@gmail.com,2024-02-20
M10,Anna,Dennis,anna@gmail.com,2024-01-06
M11,Lisa,Foster,lisa@gmail.com,2022-09-19
M12,Martha,Young,martha@gmail.com,2023-12-19
M13,Joan,Glasby,joan@gmail.com,2024-10-01
M14,Robert,Hagar,robert@gmail.com,2023-03-29
M15,Keith,Neilson,keith@gmail.com,2023-12-08
M16,Greg,Greany,greg@gmail.com,2022-09-15
M17,Monique,Geisler,monique@gmail.com,2024-03-19
M18,Mario,Nash,mario@gmail.com,2024-10-09
M19,Marian,Donato,marian@gmail.com,2024-05-12
M20,Adam,Karsten,adam@gmail.com,2023-04-12
M21,Larry,Boyd,larry@gmail.com,2024-09-01
M22,Barry,Moore,barry@gmail.com,2023-01-31
M23,Patrick,Sanford,patrick@gmail.com,2023-11-27
M24,Randy,Taylor,randy@gmail.com,2022-09-19
M25,Tracy,Biedrzycki,tracy@gmail.com,2023-06-23
M26,Mike,Armstrong,mike@gmail.com,2024-07-29
M27,Randall,Kaelker,randall@gmail.com,2023-04-14
M28,Lottie,Cooks,lottie@gmail.com,2024-08-27
M29,Billy,Carlisle,billy@gmail.com,2023-03-14
M30,Anthony,English,anthony@gmail.com,2023-01-03
