staff_id,name,email,role,hire_date
S1,William Reagan,william@gmail.com,Manager,2014-07-23
S2,Carolyn Edwards,carolyn@gmail.com,Manager,2019-07-23
S3,Madeline Martucci,madeline@gmail.com,Librarian,2012-02-17
S4,Nancy Pennington,nancy@gmail.com,Manager,2014-09-03
S5,Tammy Murray,tammy@gmail.com,Manager,2014-01-18
S6,Beatrice Gaines,beatrice@gmail.com,Manager,2021-02-09
S7,George Chipman,george@gmail.com,Assistant,2014-07-07
S8,Dallas Watts,dallas@gmail.com,Librarian,2016-08-19
S9,Vern Papa,vern@gmail.com,Manager,2019-03-02
S10,Patrick Burnside,patrick@gmail.com,Librarian,2013-06-04
